dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gauss4c_sigma10p0,agglomerative_ward,4,1,1,143,44.643125257630174,117.27860139693529,10.829524523123593
gauss4c_sigma10p0,agglomerative_ward,4,1,2,143,22.405001034842225,75.9109453970824,8.712688758189541
gauss4c_sigma10p0,agglomerative_ward,4,1,3,143,21.045655507549927,74.26783088429278,8.617878560544513
gauss4c_sigma10p0,agglomerative_ward,4,1,4,143,11.906218199977674,60.03777453079932,7.748404644234793
gauss4c_sigma10p0,agglomerative_ward,4,2,1,50,23.069682624402123,65.95098039880006,8.12102089634056
gauss4c_sigma10p0,agglomerative_ward,4,2,2,50,39.787541750141116,39.29066498891264,6.2682266223320795
gauss4c_sigma10p0,agglomerative_ward,4,2,3,50,22.540963649955106,56.397436174782094,7.509822646027141
gauss4c_sigma10p0,agglomerative_ward,4,2,4,50,14.601811975501647,61.18836405677746,7.8222991541347655
gauss4c_sigma10p0,agglomerative_ward,4,3,1,133,19.432977829808074,74.2737814960704,8.618223801693153
gauss4c_sigma10p0,agglomerative_ward,4,3,2,133,16.599705340746148,54.79628105589139,7.402451016784332
gauss4c_sigma10p0,agglomerative_ward,4,3,3,133,41.92387968492536,54.14282893300893,7.358181088625702
gauss4c_sigma10p0,agglomerative_ward,4,3,4,133,22.04343714452041,78.26165523098666,8.846561774553246
gauss4c_sigma10p0,agglomerative_ward,4,4,1,74,12.560868883475992,43.93434398123441,6.628298724501967
gauss4c_sigma10p0,agglomerative_ward,4,4,2,74,15.526008858247911,52.6482041158077,7.255908221291646
gauss4c_sigma10p0,agglomerative_ward,4,4,3,74,27.366529598037083,55.32924646648198,7.438363157743912
gauss4c_sigma10p0,agglomerative_ward,4,4,4,74,44.54659266023901,91.8635377418275,9.584546819846388
