dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gauss4c_sigma10p0,kmeans,4,1,1,144,51.97181804907195,107.13588071957255,10.350646391388924
gauss4c_sigma10p0,kmeans,4,1,2,144,30.062598177947088,69.00655338330701,8.307018320872238
gauss4c_sigma10p0,kmeans,4,1,3,144,9.445463640777703,69.08645710789818,8.311826340095068
gauss4c_sigma10p0,kmeans,4,1,4,144,8.520120132203262,37.773520256227805,6.146016616982727
gauss4c_sigma10p0,kmeans,4,2,1,65,25.206506664107316,116.92570377644827,10.813218936859101
gauss4c_sigma10p0,kmeans,4,2,2,65,43.71494488545637,72.25520893051988,8.500306402155154
gauss4c_sigma10p0,kmeans,4,2,3,65,17.160247960407915,103.4790860063309,10.172467056045495
gauss4c_sigma10p0,kmeans,4,2,4,65,13.91830049002841,87.86871924019245,9.3738316200043
gauss4c_sigma10p0,kmeans,4,3,1,80,11.186434342892868,81.41410828360517,9.022976686415918
gauss4c_sigma10p0,kmeans,4,3,2,80,16.425801666185414,55.1215816244643,7.42439099350676
gauss4c_sigma10p0,kmeans,4,3,3,80,44.3581873374434,77.13162418413603,8.782461168951219
gauss4c_sigma10p0,kmeans,4,3,4,80,28.029576653478323,77.98493907964968,8.830908168452986
gauss4c_sigma10p0,kmeans,4,4,1,111,6.278617558001271,44.3602160606179,6.660346542081569
gauss4c_sigma10p0,kmeans,4,4,2,111,11.678900755641578,49.770233804922526,7.054802180424518
gauss4c_sigma10p0,kmeans,4,4,3,111,29.078706452488852,75.87068576179374,8.710378049303815
gauss4c_sigma10p0,kmeans,4,4,4,111,52.963775233868304,92.957334410072,9.641438399433563
