dataset,method,K,primary_cluster,target_cluster,n_samples,mean_pct,var_pct,std_pct
gmm_five_clusters,kmeans,5,1,1,75,100.0,0.0,0.0
gmm_five_clusters,kmeans,5,1,2,75,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,1,3,75,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,1,4,75,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,1,5,75,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,2,1,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,2,2,82,100.0,0.0,0.0
gmm_five_clusters,kmeans,5,2,3,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,2,4,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,2,5,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,3,1,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,3,2,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,3,3,82,100.0,0.0,0.0
gmm_five_clusters,kmeans,5,3,4,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,3,5,82,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,4,1,80,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,4,2,80,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,4,3,80,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,4,4,80,100.0,0.0,0.0
gmm_five_clusters,kmeans,5,4,5,80,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,5,1,81,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,5,2,81,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,5,3,81,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,5,4,81,0.0,0.0,0.0
gmm_five_clusters,kmeans,5,5,5,81,100.0,0.0,0.0
