dataset	n	p	true_k	sigma	method	K	n_iter	CRI	WCRI	TWCRI	ARI_mean	ARI_std	AMI_mean	AMI_std	empty_clusters	K_star_TWCRI
blobs_2d	300	2	3		kmeans	2	200	0.9923	0.4949	0.9898	0.9308	0.2439	0.9439	0.1977		3
blobs_2d	300	2	3		kmeans	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
blobs_2d	300	2	3		kmeans	4	200	NaN	NaN	NaN	0.7893	0.0930	0.8431	0.0434	Y	3
blobs_2d	300	2	3		kmeans	5	200	0.6525	0.1405	0.7023	0.6571	0.1122	0.7602	0.0562		3
blobs_2d	300	2	3		kmeans	6	200	0.6108	0.1051	0.6305	0.5795	0.1089	0.7104	0.0616		3
blobs_2d	300	2	3		agglomerative_ward	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		3
blobs_2d	300	2	3		agglomerative_ward	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		3
blobs_2d	300	2	3		agglomerative_ward	4	200	0.7947	0.2136	0.8545	0.7704	0.0724	0.8336	0.0271		3
blobs_2d	300	2	3		agglomerative_ward	5	200	0.7035	0.1465	0.7323	0.6135	0.0939	0.7403	0.0488		3
blobs_2d	300	2	3		agglomerative_ward	6	200	0.7229	0.1223	0.7340	0.5752	0.0896	0.7087	0.0580		3
blobs_2d	300	2	3		agglomerative_single	2	200	1.0000	0.5000	1.0000	1.0000	0.0000	1.0000	0.0000		
blobs_2d	300	2	3		agglomerative_single	3	200	1.0000	0.3333	1.0000	1.0000	0.0000	1.0000	0.0000		
blobs_2d	300	2	3		agglomerative_single	4	200	0.9086	0.2382	0.9528	0.9632	0.0206	0.9561	0.0197		
blobs_2d	300	2	3		agglomerative_single	5	200	0.8293	0.1732	0.8658	0.9166	0.0422	0.9065	0.0369		
blobs_2d	300	2	3		agglomerative_single	6	200	0.8053	0.1450	0.8698	0.8727	0.0524	0.8633	0.0429		
blobs_2d	300	2	3		hdbscan*	modal=3	200				0.9993	0.0105	0.9992	0.0108		modal_k=3, agree=0.99
circles_2d	300	2	2		kmeans	2	200	0.7883	0.3940	0.7880	0.2433	0.2791	0.2100	0.2564		2
circles_2d	300	2	2		kmeans	3	200	0.7765	0.2588	0.7764	0.4410	0.2070	0.5040	0.1627		2
circles_2d	300	2	2		kmeans	4	200	0.7480	0.1871	0.7486	0.5290	0.1625	0.6181	0.1161		2
circles_2d	300	2	2		kmeans	5	200	0.7250	0.1450	0.7249	0.5256	0.1269	0.6378	0.0899		2
circles_2d	300	2	2		kmeans	6	200	0.7233	0.1205	0.7233	0.4762	0.0958	0.6027	0.0709		2
circles_2d	300	2	2		agglomerative_ward	2	200	0.7634	0.3815	0.7629	0.2405	0.2350	0.2184	0.2201		2
circles_2d	300	2	2		agglomerative_ward	3	200	0.7501	0.2500	0.7501	0.4460	0.1687	0.5098	0.1297		2
circles_2d	300	2	2		agglomerative_ward	4	200	0.7194	0.1804	0.7217	0.4822	0.1207	0.5815	0.0872		2
